Closing Cost,ln(Ci/(Ci-1)),stdev,
65.79,,0.029729674217518,0.471943947231126
65.21,-0.008855019692796,stdev.p,
64.42,-0.012188687502058,0.029480885959015,0.467994556064449
64.25,-0.002642420127724,stdev.s,
64.78,0.008215189967854,0.029961882475248,0.475630139045096
63.27,-0.02358563058439,,
61.4,-0.030001448005696,,
61.84,0.00714056912607,,
58.15,-0.061524525314493,,
58.88,0.012475595455948,,
59.64,0.012825015475917,,
62.2,0.042028509848596,,
62.56,0.005771096491922,,
61.32,-0.020020042233442,,
60.43,-0.014620383630146,,
60.16,-0.004477990731883,,
57.9,-0.038290295062635,,
56.75,-0.020061728217438,,
56.03,-0.012768394784319,,
58.45,0.042284426340884,,
58.06,-0.006694729321594,,
56.38,-0.029362472910517,,
56.32,-0.00106477383618,,
55.51,-0.014486527147717,,
54.56,-0.017262171166863,,
58.04,0.06183141448078,,
57.72,-0.005528694110317,,
56.44,-0.022425606921057,,
56.23,-0.003727704680503,,
53.05,-0.058215557244118,,
51.79,-0.024037784624192,,
51.17,-0.0120436576188,,
49.96,-0.023930737559624,,
50.27,0.006185792447107,,
51.3,0.02028227447224,,
52.01,0.013745255608257,,
49.71,-0.0452298876784,,
50.76,0.020902522739606,,
53.87,0.059465093846255,,
54.32,0.008318746557998,,
52.91,-0.0263001263344,,
57.58,0.08458292826799,,
55.4,-0.038595691430792,,
56.02,0.011129176078725,,
57.74,0.030241404402827,,
56.1,-0.028814361706139,,
57.05,0.016792263779434,,
56.94,-0.001929994458193,,
60.25,0.056504490520873,,
60.74,0.008099887246838,,
62.31,0.025519466938528,,
62.05,-0.004181414905514,,
59.12,-0.04837123501067,,
60.66,0.025715225620489,,
60.78,0.001976285228212,,
62.7,0.031100660150228,,
61.88,-0.01316442193401,,
64.62,0.043326934691487,,
63.2,-0.022219659243541,,
64.69,0.023302328903082,,
65.83,0.017469031423891,,
